County,Region,Year,MktMilkDairiesCow,MktMilkDairiesGoat,MktMilkDairiesSheep,MktMilkDairiesWaterBuffalo,MfgMilkDairiesCow,MfgMilkDairiesGoat,MfgMilkDairiesSheep,MfgMilkDairiesWaterBuffalo
Amador,Stockton,2021,0,0,0,0,0,0,0,0
Butte,Stockton,2021,2,0,0,0,0,0,0,0
Calaveras,Stockton,2021,0,0,0,0,0,0,0,0
Colusa,Stockton,2021,0,0,0,0,0,0,0,0
Contra Costa,Oakland,2021,0,0,0,0,0,0,0,0
Del Norte,Oakland,2021,3,0,1,0,4,0,0,0
El Dorado,Stockton,2021,0,0,0,0,0,0,0,0
Fresno,Fresno,2021,57,1,1,1,0,1,0,0
Glenn,Stockton,2021,16,2,0,0,1,0,0,0
Humboldt,Oakland,2021,36,1,0,0,15,1,0,0
Imperial,Ontario,2021,2,0,0,0,0,0,0,0
Inyo,Fresno,2021,0,0,0,0,0,0,0,0
Kern,Fresno,2021,47,0,0,0,0,0,0,0
Kings,Fresno,2021,97,8,0,0,0,0,0,0
Lake,Oakland,2021,0,0,0,0,0,0,0,0
Lassen,Stockton,2021,0,0,0,0,0,0,0,0
Los Angeles,Ontario,2021,1,0,0,0,0,0,0,0
Madera,Fresno,2021,33,1,0,0,0,0,0,0
Marin,Oakland,2021,20,1,1,0,1,0,0,1
Mariposa,Stockton,2021,0,0,0,0,0,0,0,0
Mendocino,Oakland,2021,2,0,0,0,0,2,0,0
Merced,Fresno/Stockton,2021,177,8,1,0,11,0,0,0
Modoc,Stockton,2021,0,0,0,0,0,0,0,0
Mono,Stockton,2021,0,0,0,0,0,0,0,0
Monterey,Oakland,2021,2,0,1,0,0,0,0,0
Napa,Oakland,2021,0,0,0,0,0,0,0,0
Nevada,Stockton,2021,0,0,0,0,0,0,0,0
Orange,Ontario,2021,0,0,0,0,0,0,0,0
Placer,Stockton,2021,2,0,0,0,0,0,0,0
Plumas,Stockton,2021,0,0,0,0,0,0,0,0
Riverside,Ontario,2021,25,0,0,0,0,0,0,0
Sacramento,Stockton,2021,18,0,0,1,0,0,0,0
San Benito,Oakland,2021,1,1,0,0,0,0,0,0
San Bernardino,Ontario,2021,36,2,0,0,0,0,0,0
San Diego,Ontario,2021,2,0,0,0,0,0,0,0
San Francisco,Oakland,2021,0,0,0,0,0,0,0,0
San Joaquin,Stockton,2021,80,1,0,0,1,0,0,0
San Luis Obispo,Fresno,2021,1,0,0,0,0,1,0,0
San Mateo,Oakland,2021,0,0,0,0,0,1,0,0
Santa Barbara,Ontario,2021,1,0,0,0,0,0,0,0
Santa Clara,Oakland,2021,1,0,0,0,0,0,0,0
Santa Cruz,Oakland,2021,0,0,0,0,0,0,0,0
Shasta,Stockton,2021,0,0,0,0,0,0,0,0
Sierra,Stockton,2021,0,0,0,0,0,0,0,0
Siskiyou,Stockton,2021,3,0,0,0,0,0,0,0
Solano,Stockton,2021,2,1,0,0,0,0,0,0
Sonoma,Oakland,2021,56,2,1,1,2,0,0,0
Stanislaus,Stockton,2021,154,8,4,0,11,0,0,0
Sutter,Stockton,2021,0,0,0,0,0,0,0,0
Tehama,Stockton,2021,3,0,1,0,0,0,0,0
Trinity,Stockton,2021,0,0,0,0,0,0,0,0
Tulare,Fresno,2021,224,1,0,0,0,0,0,0
Tuolumne,Stockton,2021,0,0,0,0,0,0,0,0
Ventura,Ontario,2021,0,0,0,0,0,0,0,0
Yolo,Stockton,2021,2,0,0,0,0,0,0,0
Yuba,Stockton,2021,3,0,0,0,0,0,0,0
Alameda,Oakland,2022,0,0,0,0,0,0,0,0
Alpine,Stockton,2022,0,0,0,0,0,0,0,0
Amador,Stockton,2022,0,0,0,0,0,0,0,0
Butte,Stockton,2022,2,0,0,0,0,0,0,0
Calaveras,Stockton,2022,0,0,0,0,0,0,0,0
Colusa,Stockton,2022,0,0,0,0,0,0,0,0
Contra Costa,Oakland,2022,0,0,0,0,0,0,0,0
Del Norte,Oakland,2022,3,0,1,0,2,0,0,0
El Dorado,Stockton,2022,0,1,0,0,0,0,0,0
Fresno,Fresno,2022,56,1,1,1,0,1,0,0
Glenn,Stockton,2022,13,1,0,0,0,1,0,0
Humboldt,Oakland,2022,32,1,0,0,15,1,0,0
Imperial,Ontario,2022,2,0,0,0,0,0,0,0
Inyo,Fresno,2022,0,0,0,0,0,0,0,0
Kern,Fresno,2022,46,0,0,0,0,0,0,0
Kings,Fresno,2022,96,8,0,0,0,0,0,0
Lake,Oakland,2022,0,0,0,0,0,0,0,0
Lassen,Stockton,2022,0,0,0,0,0,0,0,0
Los Angeles,Ontario,2022,1,0,0,0,0,0,0,0
Madera,Fresno,2022,32,1,0,0,0,0,0,0
Marin,Oakland,2022,18,2,1,0,1,0,0,0
Mariposa,Stockton,2022,0,0,0,0,0,0,0,0
Mendocino,Oakland,2022,1,0,0,0,0,1,0,0
Merced,Fresno/Stockton,2022,168,9,0,0,11,0,0,0
Modoc,Stockton,2022,0,0,0,0,0,0,0,0
Mono,Stockton,2022,0,0,0,0,0,0,0,0
Monterey,Oakland,2022,2,0,0,0,0,0,0,0
Napa,Oakland,2022,0,0,0,0,0,0,0,0
Nevada,Stockton,2022,0,0,0,0,0,0,0,0
Orange,Ontario,2022,0,0,0,0,0,0,0,0
Placer,Stockton,2022,1,0,0,0,0,0,0,0
Plumas,Stockton,2022,0,0,0,0,0,0,0,0
Riverside,Ontario,2022,23,0,0,0,0,0,0,0
Sacramento,Stockton,2022,16,0,0,1,0,0,0,0
San Benito,Oakland,2022,1,1,0,0,0,0,0,0
San Bernardino,Ontario,2022,30,2,0,0,0,0,0,0
San Diego,Ontario,2022,1,0,0,0,0,0,0,0
San Francisco,Oakland,2022,0,0,0,0,0,0,0,0
San Joaquin,Stockton,2022,76,1,0,0,1,0,0,0
San Luis Obispo,Fresno,2022,1,0,0,0,0,2,0,0
San Mateo,Oakland,2022,0,0,0,0,0,1,0,0
Santa Barbara,Ontario,2022,1,0,0,0,0,0,0,0
Santa Clara,Oakland,2022,1,0,0,0,0,0,0,0
Santa Cruz,Oakland,2022,0,0,0,0,0,0,0,0
Shasta,Stockton,2022,0,0,0,0,0,0,0,0
Sierra,Stockton,2022,0,0,0,0,0,0,0,0
Siskiyou,Stockton,2022,0,0,0,0,0,0,0,0
Solano,Stockton,2022,2,1,0,0,0,0,0,0
Sonoma,Oakland,2022,51,0,1,1,1,2,0,1
Stanislaus,Stockton,2022,141,7,4,0,9,0,0,0
Sutter,Stockton,2022,0,0,0,0,0,0,0,0
Tehama,Stockton,2022,3,0,1,0,0,0,0,0
Trinity,Stockton,2022,0,0,0,0,0,0,0,0
Tulare,Fresno,2022,213,2,0,0,0,0,0,0
Tuolumne,Stockton,2022,0,0,0,0,0,0,0,0
Ventura,Ontario,2022,0,0,0,0,0,0,0,0
Yolo,Stockton,2022,2,0,0,0,0,0,0,0
Yuba,Stockton,2022,1,0,0,0,0,0,0,0
